"station_english_name";"station_latitude";"station_longitude"
"Dobato";"27.755702813651745";"85.41897073388101"
"Uma Maheshwor Chowk";"27.657156070484053";"85.3174253180623"
"MahalaxmisthanTikhedebal";"27.66268250160106";"85.31930822879075"
"Lagankhel Tarakari Bazar";"27.667237959418443";"85.32128032296896"
"Manbhuwan";"27.67207946560243";"85.31592160463335"
"Damkal Pulchowk";"27.675627391789956";"85.31561315059662"
"Nabil Bank";"27.682521304341044";"85.31819444149734"
"Thapathali";"27.690812781350395";"85.31752154231071"
"Maitighar";"27.69452931288707";"85.32041497528553"
"Bhadrakali Bhrikutimandap";"27.699330127898964";"85.31681712716818"
"Sundhara";"27.701144182529617";"85.31358104199172"
"Narayantar";"27.721592";"85.379792"
"Nepal Apanga Sang";"27.721663964683827";"85.38088168948889"
"Makalbarigate";"27.721854208443794";"85.38281925022604"
"Dakshin Dhoka";"27.722242114738677";"85.38600470870735"
"Narling Gate";"27.722289898050605";"85.38998242467642"
"Mulpani";"27.71892958205237";"85.39357759058475"
"Bishal Chowk";"27.654364537504314";"85.31939808279276"
"Hariyali Nagar";"27.72098786950924";"85.39696991443635"
"Sano Thali";"27.724701592542193";"85.40194742381573"
"Thali Milanchok";"27.72569076955015";"85.4035684838891"
"Thulo Thali";"27.727058626598563";"85.40545742958784"
"Baghdhara Daanchhi";"27.72714231788072";"85.41760683059692"
